#,Player,Consensus,Sleeper,ESPN,Yahoo,Underdog,FantasyPros
183,Braelon AllenNYJ,185.4,185.4,—,—,—,—
184,Geno SmithNYJ,186.5,186.5,—,—,—,—
185,Rashid ShaheedSEA,187.2,187.2,—,—,—,—
186,Adonai MitchellNYJ,188.2,188.2,—,—,—,—
187,Kayshon BoutteNE,189.7,189.7,—,—,—,—
188,Mike Washington Jr.LV,190.6,190.6,—,—,—,—
189,Jalen McMillanTB,192,192,—,—,—,—
190,Kimani VidalLAC,193,193,—,—,—,—
191,Chris Rodriguez Jr.JAX,193.8,193.8,—,—,—,—
192,Jonathon BrooksCAR,194.1,194.1,—,—,—,—
193,Troy FranklinDEN,195.2,195.2,—,—,—,—
194,Pat BryantDEN,196.1,196.1,—,—,—,—
195,Tank BigsbyPHI,197.7,197.7,—,—,—,—
196,Chimere DikeTEN,199,199,—,—,—,—
197,Keaton MitchellLAC,199.2,199.2,—,—,—,—
198,Brandon AiyukSF,200,200,—,—,—,—
199,Isiah PachecoDET,201.4,201.4,—,—,—,—
200,Jake TongesSF,202.4,202.4,—,—,—,—
201,Sean TuckerTB,204,204,—,—,—,—
202,Tre HarrisLAC,204.8,204.8,—,—,—,—
203,Calvin RidleyTEN,205.3,205.3,—,—,—,—
204,Kaytron AllenWSH,206.7,206.7,—,—,—,—
205,Ja'Kobi LaneBAL,207.3,207.3,—,—,—,—
206,Isaac TeSlaaDET,209,209,—,—,—,—
207,Elic AyomanorTEN,210,210,—,—,—,—
208,Emanuel WilsonSEA,210.4,210.4,—,—,—,—
209,Joe Mixon,211.2,211.2,—,—,—,—
210,Zachariah BranchATL,212.8,212.8,—,—,—,—
211,Tank DellHOU,213.9,213.9,—,—,—,—
212,Tre TuckerLV,214.2,214.2,—,—,—,—
213,Justin FieldsKC,216,216,—,—,—,—
214,Garrett NussmeierKC,216.2,216.2,—,—,—,—
215,Ray DavisBUF,217.1,217.1,—,—,—,—
216,Nicholas SingletonTEN,218.9,218.9,—,—,—,—
217,Aaron RodgersPIT,219.9,219.9,—,—,—,—
218,Devin NealNO,220.1,220.1,—,—,—,—
219,Najee Harris,221.2,221.2,—,—,—,—
220,Jaylin NoelHOU,222.4,222.4,—,—,—,—
221,Jaylen WrightMIA,223.3,223.3,—,—,—,—
222,Kaleb JohnsonPIT,224.7,224.7,—,—,—,—
223,Demond ClaiborneMIN,225.8,225.8,—,—,—,—
224,Marvin Mims Jr.DEN,226.8,226.8,—,—,—,—
225,Jalen MilroeSEA,227.2,227.2,—,—,—,—
226,Germie BernardPIT,228.4,228.4,—,—,—,—
227,Darnell MooneyNYG,229.7,229.7,—,—,—,—
228,Kyle WilliamsNE,230.1,230.1,—,—,—,—
229,Ted HurstTB,231.3,231.3,—,—,—,—
230,Kendre MillerNO,233,233,—,—,—,—
231,Jalen NailorLV,233.1,233.1,—,—,—,—
232,Brashard SmithKC,234.7,234.7,—,—,—,—
233,Ryan FlournoyDAL,235.5,235.5,—,—,—,—
234,Tory HortonSEA,236.8,236.8,—,—,—,—
235,Kirk CousinsLV,237.7,237.7,—,—,—,—
236,Elijah SarrattBAL,238.5,238.5,—,—,—,—
237,Chris Brazzell IICAR,240,240,—,—,—,—
238,Will HowardPIT,240.9,240.9,—,—,—,—
239,Chris BellMIA,241.9,241.9,—,—,—,—
240,Rashod BatemanBAL,242.8,242.8,—,—,—,—
241,Keenan Allen,243.3,243.3,—,—,—,—
242,Keon ColemanBUF,244,244,—,—,—,—
243,Cooper KuppSEA,245.5,245.5,—,—,—,—
244,Jaydon BlueDAL,246.4,246.4,—,—,—,—
245,Audric EstimeNO,247.1,247.1,—,—,—,—
246,Jack BechLV,248.9,248.9,—,—,—,—
247,Devaughn VeleNO,249.1,249.1,—,—,—,—
248,Jarquez HunterLAR,250.6,250.6,—,—,—,—
249,Christian KirkSF,251.1,251.1,—,—,—,—
250,Malachi FieldsNYG,252,252,—,—,—,—
251,Max KlareLAR,253.8,253.8,—,—,—,—
252,Michael TriggDAL,254.9,254.9,—,—,—,—
253,Quinn EwersMIA,258.6,258.6,—,—,—,—
254,Deshaun WatsonCLE,260.4,260.4,—,—,—,—
255,Cade KlubnikNYJ,275.6,275.6,—,—,—,—
256,Marcus MariotaWSH,276.1,276.1,—,—,—,—
257,Riley LeonardIND,277,277,—,—,—,—
258,Jameis WinstonNYG,295.8,295.8,—,—,—,—
259,Joe Milton IIIDAL,298,298,—,—,—,—
260,Tyson BagentCHI,298.5,298.5,—,—,—,—
261,Carson BeckARI,310.1,310.1,—,—,—,—
